id,acquire__L15.mean,acquire__L15.p95,acquire__L15.max,motivated__L15.mean,motivated__L15.p95,motivated__L15.max,report__L15.mean,report__L15.p95,report__L15.max,scorefile__L15.mean,scorefile__L15.p95,scorefile__L15.max,suite__L15.mean,suite__L15.p95,suite__L15.max,validator__L15.mean,validator__L15.p95,validator__L15.max,acquire__L23.mean,acquire__L23.p95,acquire__L23.max,motivated__L23.mean,motivated__L23.p95,motivated__L23.max,report__L23.mean,report__L23.p95,report__L23.max,scorefile__L23.mean,scorefile__L23.p95,scorefile__L23.max,suite__L23.mean,suite__L23.p95,suite__L23.max,validator__L23.mean,validator__L23.p95,validator__L23.max,acquire__L31.mean,acquire__L31.p95,acquire__L31.max,motivated__L31.mean,motivated__L31.p95,motivated__L31.max,report__L31.mean,report__L31.p95,report__L31.max,scorefile__L31.mean,scorefile__L31.p95,scorefile__L31.max,suite__L31.mean,suite__L31.p95,suite__L31.max,validator__L31.mean,validator__L31.p95,validator__L31.max,acquire__L39.mean,acquire__L39.p95,acquire__L39.max,motivated__L39.mean,motivated__L39.p95,motivated__L39.max,report__L39.mean,report__L39.p95,report__L39.max,scorefile__L39.mean,scorefile__L39.p95,scorefile__L39.max,suite__L39.mean,suite__L39.p95,suite__L39.max,validator__L39.mean,validator__L39.p95,validator__L39.max,acquire__L47.mean,acquire__L47.p95,acquire__L47.max,motivated__L47.mean,motivated__L47.p95,motivated__L47.max,report__L47.mean,report__L47.p95,report__L47.max,scorefile__L47.mean,scorefile__L47.p95,scorefile__L47.max,suite__L47.mean,suite__L47.p95,suite__L47.max,validator__L47.mean,validator__L47.p95,validator__L47.max,acquire__L55.mean,acquire__L55.p95,acquire__L55.max,motivated__L55.mean,motivated__L55.p95,motivated__L55.max,report__L55.mean,report__L55.p95,report__L55.max,scorefile__L55.mean,scorefile__L55.p95,scorefile__L55.max,suite__L55.mean,suite__L55.p95,suite__L55.max,validator__L55.mean,validator__L55.p95,validator__L55.max,acquire__L63.mean,acquire__L63.p95,acquire__L63.max,motivated__L63.mean,motivated__L63.p95,motivated__L63.max,report__L63.mean,report__L63.p95,report__L63.max,scorefile__L63.mean,scorefile__L63.p95,scorefile__L63.max,suite__L63.mean,suite__L63.p95,suite__L63.max,validator__L63.mean,validator__L63.p95,validator__L63.max
control:consider_then_reject,8.023028373718262,18.14805793762207,18.285839080810547,29.23706817626953,42.06291198730469,43.262901306152344,-9.418449401855469,-6.5406413078308105,-6.282358646392822,-30.04483985900879,-20.50152587890625,-15.908226013183594,34.130760192871094,43.860904693603516,44.73030090332031,22.183788299560547,33.5960578918457,37.150760650634766,62.739906311035156,93.32554626464844,94.17475891113281,24.17049217224121,45.377044677734375,49.565673828125,-5.040008068084717,1.1112897396087646,2.793759822845459,-21.66037940979004,-1.3117156028747559,6.3429155349731445,-19.551559448242188,4.395956993103027,14.176499366760254,51.232025146484375,78.75350952148438,85.0013656616211,-53.2324104309082,1.5517499446868896,13.681070327758789,19.805957794189453,70.46503448486328,77.00881958007812,2.69565749168396,22.550151824951172,34.574134826660156,-46.975807189941406,3.710369110107422,15.745594024658203,-16.978174209594727,31.876399993896484,40.46116638183594,4.840439319610596,48.80048751831055,56.14456558227539,-126.24869537353516,-53.7449951171875,2.6493122577667236,164.17189025878906,326.827880859375,405.9316101074219,20.20874786376953,43.650413513183594,58.84333038330078,5.93430233001709,72.84822082519531,81.50260925292969,15.830229759216309,89.48263549804688,100.56497955322266,154.11288452148438,232.68235778808594,264.7250061035156,-553.7376098632812,-352.11297607421875,-89.44725036621094,153.1041259765625,395.0427551269531,491.4460754394531,-91.41020965576172,-20.639432907104492,13.623554229736328,-97.65206909179688,32.41355895996094,49.3287353515625,-351.12567138671875,-113.03783416748047,33.40497589111328,297.3407287597656,453.7879638671875,538.1993408203125,-742.6170043945312,-89.14746856689453,-64.11796569824219,263.8458557128906,1748.63720703125,2557.9208984375,-209.46630859375,23.69623565673828,135.04977416992188,427.11553955078125,1007.9541625976562,1310.75146484375,523.4837646484375,1035.885009765625,1059.0867919921875,909.8922119140625,1735.3082275390625,2065.00390625,-11383.673828125,3051.140625,3229.855712890625,-230.5023193359375,4315.03271484375,8961.953125,-1592.383056640625,-283.3721923828125,-195.62074279785156,6482.4150390625,13258.34765625,13954.26953125,1558.38623046875,13413.1611328125,14719.7744140625,1390.619384765625,10365.18359375,12861.396484375
control:enactment_explicit,10.317336082458496,27.104713439941406,29.597515106201172,29.424352645874023,38.77357482910156,47.23155975341797,-8.988532066345215,-6.506209373474121,-6.410784721374512,-24.947460174560547,-13.157710075378418,-12.616138458251953,36.08943176269531,44.342628479003906,51.086612701416016,22.872709274291992,37.91035461425781,39.751224517822266,62.283390045166016,103.7397689819336,119.09489440917969,29.450010299682617,49.466697692871094,51.76179122924805,-3.8818321228027344,1.0665627717971802,1.7118401527404785,-15.101065635681152,2.029571771621704,5.7955780029296875,-17.22539520263672,5.314070701599121,14.176499366760254,52.781593322753906,89.82540893554688,97.67909240722656,-42.597225189208984,7.082785606384277,17.63361930847168,31.362611770629883,64.52727508544922,66.77684783935547,9.046133995056152,21.162702560424805,50.88225555419922,-26.615312576293945,7.372729301452637,23.55023193359375,-7.177770614624023,30.98432731628418,33.195499420166016,11.238463401794434,55.07905197143555,76.78939819335938,-93.063720703125,-14.888182640075684,-1.191711187362671,157.9577178955078,316.0394592285156,330.09405517578125,28.9053955078125,61.61063003540039,75.0337905883789,38.481544494628906,100.85453033447266,116.76992797851562,32.91826629638672,83.5383529663086,88.43889617919922,156.68858337402344,274.43817138671875,284.0991516113281,-489.0381164550781,-131.28988647460938,-89.44725036621094,148.5311737060547,320.4436950683594,340.7831726074219,-62.43399429321289,12.535110473632812,36.30651092529297,-37.55895233154297,65.79261016845703,111.60884857177734,-283.1765441894531,22.70838737487793,33.40497589111328,303.7875671386719,554.842529296875,575.0082397460938,-662.2222290039062,65.51969146728516,82.94305419921875,-68.26899719238281,841.2843017578125,1098.9439697265625,-128.98947143554688,90.11747741699219,229.11366271972656,549.0146484375,1093.4967041015625,1333.9503173828125,606.8935546875,913.0256958007812,957.8314208984375,931.6043090820312,1796.320068359375,2043.7908935546875,-6896.005859375,2519.92724609375,3133.2900390625,-2074.15380859375,2778.4443359375,3554.20703125,-1018.7534790039062,277.4074401855469,286.556640625,5616.423828125,14420.470703125,15064.7421875,2983.63818359375,13441.1572265625,13905.861328125,3096.239990234375,7317.32421875,11123.1142578125
control:enactment_implicit,11.895195960998535,18.427709579467773,20.567626953125,31.336181640625,36.74711227416992,38.192420959472656,-9.604101181030273,-6.978989601135254,-4.931913375854492,-30.35236358642578,-20.528018951416016,-19.91637420654297,33.63704299926758,38.5534782409668,48.780967712402344,27.90577507019043,39.461936950683594,40.19642639160156,76.02044677734375,105.63398742675781,107.1492691040039,28.030942916870117,43.98910140991211,45.819087982177734,-4.9512810707092285,3.3314359188079834,3.720635175704956,-20.410194396972656,-12.342720031738281,-4.674966335296631,-24.45882797241211,-9.931960105895996,9.510858535766602,65.79769134521484,88.76022338867188,90.08606719970703,-31.32179832458496,9.587949752807617,17.706623077392578,27.222318649291992,65.96907043457031,71.2218246459961,8.41500473022461,38.2293586730957,45.983985900878906,-38.52206039428711,0.914311945438385,1.9578226804733276,-16.503812789916992,28.150463104248047,38.82075881958008,29.98960304260254,51.60871124267578,64.45198822021484,-84.74767303466797,-2.1842880249023438,1.6846370697021484,183.6382293701172,274.79833984375,282.1060791015625,37.998268127441406,79.43124389648438,89.50331115722656,23.376323699951172,56.819496154785156,63.433712005615234,28.04367446899414,80.2989501953125,91.50454711914062,216.45101928710938,283.02056884765625,294.4035339355469,-491.9009094238281,-349.9009704589844,-27.7371768951416,201.4437255859375,342.7652282714844,360.9455871582031,-63.56168746948242,19.08185386657715,28.141489028930664,-79.79645538330078,25.133834838867188,46.506446838378906,-350.3432922363281,-184.65711975097656,91.41363525390625,409.94183349609375,564.5621948242188,578.350341796875,-607.7080688476562,30.31573486328125,117.20750427246094,391.3026123046875,1025.2117919921875,1328.8082275390625,-77.90301513671875,118.49214935302734,152.75927734375,383.8008117675781,760.8046875,813.5745239257812,470.08428955078125,835.7586059570312,949.6659545898438,1248.039794921875,2162.236083984375,2317.35009765625,-7240.66796875,3486.27490234375,6336.01953125,425.79180908203125,5253.7265625,6273.970703125,-930.515625,170.30374145507812,188.74574279785156,5927.7275390625,13452.341796875,14306.7978515625,1714.7569580078125,10636.80859375,11996.876953125,3772.64697265625,10625.994140625,11406.4228515625
control:evaluation_awareness,9.456453323364258,18.755064010620117,19.982542037963867,28.894502639770508,37.706119537353516,46.219688415527344,-10.012661933898926,-6.702110767364502,-6.404863357543945,-29.24395751953125,-19.83513832092285,-18.425050735473633,34.200767517089844,44.11573791503906,45.68196487426758,22.770423889160156,35.088966369628906,36.19316482543945,69.39287567138672,98.0164794921875,99.59931182861328,18.290861129760742,35.09859848022461,39.64917755126953,-5.396878242492676,1.7179679870605469,2.2099461555480957,-17.399015426635742,3.1513559818267822,11.26329517364502,-20.295297622680664,1.595978021621704,12.71441650390625,54.39756393432617,84.65686798095703,90.43460083007812,-46.696102142333984,1.7888460159301758,36.406700134277344,9.166996955871582,40.736419677734375,52.61525344848633,-5.348122596740723,9.05162525177002,11.484755516052246,-47.03071594238281,-1.4992306232452393,19.185871124267578,-23.416166305541992,27.146682739257812,33.38845443725586,6.380169868469238,53.84210205078125,59.74314880371094,-113.08777618408203,-29.157703399658203,36.03618240356445,101.34227752685547,202.6658935546875,220.68988037109375,12.942248344421387,27.712915420532227,38.11783218383789,3.633016586303711,61.64362716674805,88.36260223388672,13.688755989074707,75.49140167236328,110.76890563964844,150.69578552246094,233.48020935058594,237.131103515625,-520.57373046875,-175.94610595703125,-94.01390838623047,35.04045486450195,136.43124389648438,193.9857635498047,-107.40286254882812,-40.93620300292969,7.906542778015137,-108.9350357055664,22.03481674194336,40.370567321777344,-344.04412841796875,-25.026142120361328,2.201146125793457,301.21063232421875,440.4911193847656,457.00048828125,-488.2969055175781,167.8729705810547,196.56649780273438,-724.9390869140625,242.76779174804688,286.0824890136719,-290.0452880859375,-81.68695068359375,34.3802604675293,499.166015625,1042.6195068359375,1114.4296875,758.1134643554688,1233.82470703125,1256.4251708984375,1015.327392578125,1660.07666015625,1786.0555419921875,-6637.29931640625,3811.312744140625,4403.17822265625,-5017.62646484375,2114.208984375,4547.4892578125,-1617.9720458984375,-420.2627868652344,421.8627624511719,6663.71630859375,14322.4248046875,16070.373046875,3391.67822265625,11949.3876953125,14722.63671875,4147.8857421875,11285.4033203125,12859.86328125
control:hypothetical,9.156722068786621,19.29202651977539,20.529909133911133,29.505821228027344,38.84144592285156,44.640872955322266,-9.563060760498047,-6.775672912597656,-6.496094703674316,-26.584623336791992,-18.344097137451172,-17.31841278076172,34.538490295410156,44.758670806884766,46.8138313293457,23.525928497314453,35.87909698486328,37.596702575683594,65.40161895751953,91.91797637939453,96.69720458984375,24.790882110595703,40.8512077331543,46.179630279541016,-6.568576812744141,2.0309953689575195,2.7602269649505615,-10.437154769897461,12.900818824768066,16.124408721923828,-17.48085594177246,-0.3969917893409729,9.050323486328125,56.887290954589844,81.43110656738281,105.36201477050781,-42.10187530517578,-1.6972627639770508,31.080944061279297,18.22939109802246,46.889442443847656,54.412567138671875,0.0056376648135483265,15.288320541381836,24.631328582763672,-30.85533905029297,11.390297889709473,15.256312370300293,-11.92205810546875,24.63003921508789,36.0845832824707,15.173504829406738,52.754146575927734,60.671836853027344,-103.93495178222656,-32.84404373168945,44.80326843261719,124.27214813232422,245.13462829589844,256.27734375,15.711109161376953,39.28360366821289,47.763858795166016,29.6215763092041,92.42618560791016,111.3211898803711,29.043127059936523,81.46383666992188,131.4934539794922,164.90390014648438,254.00775146484375,279.8634948730469,-498.1259765625,-245.4761962890625,-108.68221282958984,89.93756103515625,233.3517608642578,310.069091796875,-89.3667221069336,-20.796035766601562,7.653284072875977,-55.20204544067383,28.99524688720703,87.72328186035156,-301.3890075683594,-74.5169906616211,-15.038580894470215,323.5516052246094,488.4603576660156,510.6870422363281,-571.6740112304688,165.99221801757812,266.34710693359375,-147.0814971923828,650.916259765625,1186.817138671875,-232.49209594726562,-12.270223617553711,112.73188781738281,682.7588500976562,1398.1788330078125,1409.4735107421875,646.4677124023438,1106.4808349609375,1262.8350830078125,1100.97119140625,1825.3154296875,1914.745361328125,-6115.158203125,1751.259033203125,2605.49853515625,-3046.207275390625,3934.60693359375,6031.7880859375,-1447.421875,253.43719482421875,862.5776977539062,6937.2314453125,14272.9951171875,14790.3037109375,4687.3173828125,14953.0029296875,17507.98828125,4633.822265625,11741.0703125,15632.6826171875
control:incentive_mention,5.851036071777344,12.650725364685059,15.925230979919434,28.816503524780273,37.06007766723633,40.663997650146484,-9.611412048339844,-7.220090389251709,-7.133676052093506,-32.39023208618164,-20.966398239135742,-19.60694122314453,30.768278121948242,40.5573616027832,40.7258186340332,21.441926956176758,28.680044174194336,29.502655029296875,59.457340240478516,89.04380798339844,95.06473541259766,25.231311798095703,40.06961441040039,46.88564682006836,-5.774260997772217,-1.5346428155899048,-0.7948821187019348,-23.21692657470703,-5.627318382263184,-5.250268459320068,-28.351106643676758,-14.531829833984375,9.859180450439453,51.241275787353516,79.02375793457031,84.62548065185547,-62.13093185424805,-23.697246551513672,-15.196742057800293,21.16824722290039,63.45990753173828,68.27542114257812,-2.4712600708007812,11.217626571655273,11.562580108642578,-57.20439529418945,-5.601965427398682,6.037318706512451,-35.51289749145508,23.00933837890625,24.248632431030273,4.291549205780029,38.13679122924805,39.2750244140625,-121.19532012939453,-33.84299087524414,-28.25469970703125,143.25001525878906,238.7958526611328,253.3214569091797,16.44721794128418,48.36008071899414,51.429954528808594,2.256725549697876,53.9025993347168,62.48378372192383,7.509109020233154,63.31702423095703,89.86547088623047,148.8470458984375,212.99673461914062,217.1538848876953,-591.0325317382812,-287.48651123046875,-85.51898956298828,107.34382629394531,260.995849609375,273.9248046875,-103.96833801269531,-41.31583786010742,4.812925815582275,-129.96629333496094,11.274100303649902,20.10647964477539,-391.2419738769531,-194.2584686279297,33.99262619018555,274.4140319824219,383.8834533691406,399.3750305175781,-979.1873168945312,-190.32679748535156,27.466045379638672,29.6446590423584,1134.9005126953125,1283.0543212890625,-265.6283874511719,-66.06599426269531,-42.710262298583984,355.4935302734375,1231.259521484375,1359.078125,398.99639892578125,988.1699829101562,994.7933349609375,841.7265014648438,1877.223388671875,1881.0286865234375,-13756.400390625,1179.866455078125,2802.89013671875,-1541.2137451171875,4201.181640625,5542.3525390625,-1561.3204345703125,-150.26622009277344,454.10546875,6135.6142578125,14803.359375,16792.3125,-418.6778259277344,13355.939453125,14480.7587890625,591.8724365234375,9544.7666015625,10766.15234375
control:legitimate_tradeoff,7.785433292388916,11.599689483642578,12.43977165222168,28.697612762451172,38.17802047729492,40.56793212890625,-8.118417739868164,-5.916388034820557,-5.742116451263428,-24.644378662109375,-17.523130416870117,-16.801265716552734,38.066795349121094,41.76050567626953,42.0493278503418,19.522476196289062,28.855684280395508,29.55500030517578,49.297237396240234,57.59181594848633,57.857086181640625,23.297513961791992,34.58445358276367,36.983821868896484,-1.5409541130065918,3.223689079284668,3.778087854385376,-17.020465850830078,-1.857208490371704,0.10410487651824951,-10.387741088867188,18.55337142944336,21.029211044311523,33.66048812866211,53.837711334228516,57.273494720458984,-41.80546569824219,-3.8492722511291504,-0.6687836647033691,17.381744384765625,44.351470947265625,47.97959899902344,12.100554466247559,30.35899543762207,37.23725509643555,-29.71367645263672,10.997257232666016,13.251676559448242,-0.9877510070800781,44.326393127441406,51.634193420410156,-9.964673042297363,15.356987953186035,25.00495719909668,-115.00190734863281,-50.929996490478516,-48.14258575439453,89.65222930908203,174.94630432128906,181.15814208984375,32.25685119628906,53.87867736816406,63.45793151855469,-4.86876916885376,28.276796340942383,29.775524139404297,29.14777374267578,88.66864013671875,94.04042053222656,62.62758255004883,133.2530517578125,136.13558959960938,-508.34759521484375,-154.20504760742188,-148.1888427734375,60.70527267456055,162.1808319091797,181.0902862548828,-46.89099884033203,0.10839557647705078,8.053654670715332,-94.7566909790039,9.449883460998535,9.877737045288086,-276.85406494140625,32.37983703613281,64.62535858154297,131.1543731689453,254.23220825195312,271.8554382324219,-839.8975830078125,-195.57981872558594,-179.27891540527344,-307.9273681640625,75.04080200195312,81.24705505371094,-56.43035888671875,21.867633819580078,60.05549240112305,155.61276245117188,547.0215454101562,652.3782348632812,384.51397705078125,847.737548828125,931.1788330078125,135.1063995361328,534.3728637695312,613.9984741210938,-15782.541015625,-102.25341796875,1067.9381103515625,-1755.9691162109375,1748.793212890625,2363.677978515625,-527.8052368164062,293.72564697265625,544.261474609375,1845.346435546875,7186.14501953125,8703.3369140625,-3006.99853515625,8305.5380859375,8668.06640625,-2893.2236328125,5941.03369140625,6360.8515625
control:new_evidence,8.626141548156738,16.77988052368164,17.15912437438965,30.70318603515625,38.370540618896484,40.44716262817383,-10.64560317993164,-7.231069564819336,-6.083929538726807,-33.709312438964844,-19.59270477294922,-18.426246643066406,33.19519805908203,42.410614013671875,46.95292282104492,21.820890426635742,30.726028442382812,35.61870193481445,66.65401458740234,100.322998046875,106.82831573486328,27.369401931762695,41.30739212036133,44.246761322021484,-8.177130699157715,0.43480366468429565,1.6654471158981323,-26.013626098632812,-9.846652030944824,1.2654931545257568,-23.697275161743164,2.3812105655670166,8.934484481811523,46.87821578979492,76.2833251953125,77.86561584472656,-47.513851165771484,2.4116382598876953,17.589679718017578,26.68460464477539,52.123226165771484,56.94072341918945,-4.118230819702148,18.99782371520996,31.98676109313965,-64.5508804321289,8.23519229888916,12.529544830322266,-30.44850730895996,42.47081756591797,53.43582534790039,-8.61013126373291,22.212778091430664,23.592796325683594,-123.02552795410156,-46.46714782714844,-27.134254455566406,144.69229125976562,205.7564697265625,213.4181671142578,15.98721694946289,42.51446533203125,52.72468566894531,-21.336523056030273,35.36412811279297,75.22026062011719,10.220328330993652,100.82261657714844,142.15492248535156,122.17171478271484,190.18927001953125,195.04824829101562,-584.00732421875,-342.3215637207031,-169.60894775390625,119.28509521484375,208.9690704345703,225.0951690673828,-98.6316909790039,-18.777070999145508,-2.3738131523132324,-166.43655395507812,-37.86479949951172,-13.729992866516113,-400.30560302734375,-149.78021240234375,-49.35596466064453,235.13951110839844,373.3660888671875,413.7772521972656,-985.386962890625,-388.96240234375,-240.02166748046875,-105.26679229736328,242.7897186279297,325.6128845214844,-190.46188354492188,-21.410736083984375,74.482666015625,115.34062194824219,459.8854064941406,482.452392578125,372.5542907714844,924.9639892578125,1093.173095703125,570.4848022460938,1026.3197021484375,1235.232666015625,-16722.87109375,-531.4552612304688,214.60838317871094,-583.4411010742188,3719.923828125,4245.3671875,-1296.75537109375,373.6582946777344,927.2083740234375,3940.6826171875,12985.0068359375,13859.638671875,-2192.769775390625,13834.072265625,14495.4404296875,-2016.2706298828125,5854.208984375,8708.3515625
control:ordinary_uncertainty,5.54380989074707,14.89042854309082,16.348388671875,28.160249710083008,38.6559944152832,43.177696228027344,-9.4068603515625,-5.6741414070129395,-5.434205532073975,-32.47804641723633,-23.436803817749023,-23.10389518737793,29.818803787231445,40.534080505371094,41.38656234741211,21.14044761657715,30.071382522583008,30.30488395690918,57.96945571899414,84.19666290283203,94.61165618896484,24.83016014099121,34.53773880004883,43.2181396484375,-6.869625568389893,-0.8201454877853394,-0.12378930300474167,-30.5270938873291,-14.343525886535645,-4.674966335296631,-31.58708953857422,-18.50345230102539,9.510858535766602,49.1421012878418,72.60066223144531,91.9715347290039,-71.15023040771484,-29.215715408325195,-7.269937992095947,17.90336036682129,41.400718688964844,50.20219802856445,-11.00274658203125,9.249260902404785,11.968060493469238,-76.2336654663086,-33.10079574584961,1.5918360948562622,-42.80644607543945,-10.970067977905273,38.82075881958008,-4.023153305053711,26.73578453063965,46.165061950683594,-149.04428100585938,-87.67797088623047,-37.30781936645508,134.1348876953125,200.858642578125,241.23907470703125,3.2608416080474854,25.071331024169922,27.24437713623047,-32.37202072143555,20.033954620361328,47.003440856933594,-15.389071464538574,27.844200134277344,39.965484619140625,138.49058532714844,223.8306884765625,268.7280578613281,-620.2310791015625,-296.62432861328125,-27.7371768951416,92.4615249633789,192.1558074951172,209.3465576171875,-124.72076416015625,-3.91943359375,44.84468078613281,-177.5867156982422,-51.343955993652344,46.506446838378906,-451.0743103027344,-202.64044189453125,91.41363525390625,267.1295471191406,426.6792297363281,503.0141296386719,-883.2522583007812,-367.04547119140625,117.20750427246094,136.5384979248047,727.1474609375,748.982177734375,-232.67408752441406,71.65811157226562,102.08233642578125,279.9879150390625,896.59326171875,1131.327880859375,221.69505310058594,663.92724609375,905.8727416992188,743.9705200195312,1715.371826171875,1978.73876953125,-11933.609375,2215.295166015625,3646.457275390625,702.5034790039062,5482.67529296875,9711.3955078125,-1364.0718994140625,-84.32243347167969,702.8615112304688,5444.38037109375,13954.173828125,14742.625,-921.9577026367188,10027.03515625,11362.8427734375,1611.31591796875,9658.3505859375,13461.5947265625
control:required_accuracy,6.91356086730957,9.780336380004883,10.63205623626709,28.556743621826172,37.911800384521484,39.699310302734375,-8.075927734375,-6.4204301834106445,-6.166107177734375,-24.404926300048828,-17.379545211791992,-16.076772689819336,37.09894561767578,39.89626693725586,40.34375,19.10125732421875,27.706884384155273,27.844058990478516,49.641029357910156,61.37610626220703,63.617828369140625,23.908714294433594,38.98920440673828,40.648860931396484,-0.9327961206436157,3.287649154663086,3.864539623260498,-15.199010848999023,-1.6371158361434937,0.7526363134384155,-10.162612915039062,17.197011947631836,18.83924674987793,34.95443344116211,56.61067199707031,61.75115203857422,-37.73904800415039,-0.7116317749023438,6.810293197631836,18.108509063720703,55.04389572143555,57.06998825073242,16.857398986816406,41.08826446533203,49.66766357421875,-16.31615447998047,11.407772064208984,14.198676109313965,9.30586051940918,43.54696273803711,50.263248443603516,-3.9713587760925293,25.222511291503906,36.30216979980469,-66.451904296875,-7.244997024536133,-5.72664213180542,93.1014633178711,265.5937805175781,278.0931701660156,36.09785079956055,63.87791061401367,70.34212493896484,38.0997314453125,56.03380584716797,58.86160659790039,60.79542541503906,98.46189880371094,100.03731536865234,81.86378479003906,161.67654418945312,161.6873016357422,-346.8832092285156,-81.94957733154297,-77.76104736328125,67.16911315917969,229.41885375976562,233.83445739746094,-19.289321899414062,21.580692291259766,25.259321212768555,-6.198949337005615,43.35044860839844,46.09737014770508,-140.6240692138672,59.77376174926758,73.87377166748047,164.5347442626953,288.7754211425781,300.4925231933594,-395.8637390136719,214.9353485107422,365.8205871582031,-307.2536315917969,277.4544372558594,440.7047119140625,-40.32732009887695,98.62396240234375,123.0436782836914,452.00726318359375,908.5767822265625,1081.9700927734375,650.4658203125,1056.4307861328125,1171.6556396484375,334.47515869140625,767.4716186523438,899.3212280273438,-5754.71533203125,2420.6708984375,3539.931396484375,-3786.752685546875,350.0035400390625,1124.61083984375,-1162.243896484375,-242.71112060546875,-227.14573669433594,6114.94384765625,11600.50390625,13119.4873046875,5566.7744140625,10916.04296875,12224.5263671875,2563.03125,6490.8154296875,6807.23388671875
