id,probe,metric,n,mean
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,suite__L39,trigger_distance,132,19.325757575757574
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,suite__L39,silent_gap,89,27.179775280898877
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,suite__L39,burst_start_distance,89,28.651685393258425
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,validator__L39,trigger_distance,90,22.633333333333333
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,validator__L39,silent_gap,53,36.735849056603776
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,validator__L39,burst_start_distance,53,38.43396226415094
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,scorefile__L39,trigger_distance,106,23.91509433962264
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,scorefile__L39,silent_gap,73,33.273972602739725
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,scorefile__L39,burst_start_distance,73,34.726027397260275
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,acquire__L39,trigger_distance,110,23.081818181818182
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,acquire__L39,silent_gap,77,31.545454545454547
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,acquire__L39,burst_start_distance,77,32.97402597402598
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,report__L39,trigger_distance,223,11.242152466367713
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,report__L39,silent_gap,74,30.864864864864863
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,report__L39,burst_start_distance,74,33.58108108108108
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,motivated__L39,trigger_distance,170,14.458823529411765
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,motivated__L39,silent_gap,87,26.298850574712645
c2083d22cb4c87dc156f7b25107f1b9643b3f4b8b92acaba5ad6a4ba4c8e0747,motivated__L39,burst_start_distance,87,28.229885057471265
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,suite__L39,trigger_distance,343,12.17201166180758
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,suite__L39,silent_gap,189,20.275132275132275
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,suite__L39,burst_start_distance,189,22.084656084656086
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,validator__L39,trigger_distance,309,13.190938511326861
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,validator__L39,silent_gap,128,29.4296875
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,validator__L39,burst_start_distance,128,31.84375
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,scorefile__L39,trigger_distance,339,12.36283185840708
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,scorefile__L39,silent_gap,182,21.164835164835164
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,scorefile__L39,burst_start_distance,182,23.02747252747253
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,acquire__L39,trigger_distance,172,24.401162790697676
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,acquire__L39,silent_gap,125,32.2
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,acquire__L39,burst_start_distance,125,33.536
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,report__L39,trigger_distance,254,16.19685039370079
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,report__L39,silent_gap,75,51.46666666666667
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,report__L39,burst_start_distance,75,54.84
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,motivated__L39,trigger_distance,303,13.151815181518153
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,motivated__L39,silent_gap,155,23.75483870967742
536b963895b5b846720ea46418529f48ab06af2578df0606e43e13ead28fefeb,motivated__L39,burst_start_distance,155,25.70967741935484
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,suite__L39,trigger_distance,119,22.941176470588236
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,suite__L39,silent_gap,67,38.97014925373134
f579dba56247a2c8b121c4ef7cec08fa54d73a6ad616fb639039bad6957933c5,suite__L39,burst_start_distance,67,40.73134328358209
