scope,probe,metric,n,mean,median,p90,p95,p99,maximum,fraction_one
all_400,suite,trigger_distance,70672,15.672345483359747,2.0,35.0,87.0,226.0,809,0.42301052750735796
all_400,suite,silent_gap,40777,25.4291389754028,6.0,74.0,132.0,271.0,808,0.18527601343894842
all_400,suite,burst_start_distance,40777,27.1438556048753,8.0,76.0,134.0,272.23999999999796,809,0.0
all_400,validator,trigger_distance,81925,13.050082392432103,1.0,32.0,73.0,198.0,687,0.5847055233445224
all_400,validator,silent_gap,34023,29.01575404873174,6.0,85.0,138.0,277.5599999999977,686,0.2219087088146254
all_400,validator,burst_start_distance,34023,31.409693442671134,10.0,87.0,139.0,279.0,687,0.0
all_400,scorefile,trigger_distance,85865,13.009421766726838,2.0,36.0,69.0,152.0,454,0.44641006230711
all_400,scorefile,silent_gap,47534,21.693713973156058,6.0,63.0,101.0,180.0,453,0.19455547608027937
all_400,scorefile,burst_start_distance,47534,23.493352126898642,9.0,65.0,102.0,182.0,454,0.0
all_400,acquire,trigger_distance,53233,20.687806435857457,3.0,62.0,109.0,224.0,761,0.3494073225255011
all_400,acquire,silent_gap,34633,30.26134034013802,8.0,90.0,139.0,255.0,760,0.18854849421072387
all_400,acquire,burst_start_distance,34633,31.79510871134467,10.0,91.0,140.0,256.6800000000003,763,0.0
all_400,report,trigger_distance,55502,18.85263594104717,1.0,35.0,100.0,316.0,1796,0.5903571042484955
all_400,report,silent_gap,22736,43.58097290640394,7.0,121.0,200.0,604.0,1795,0.2217628430682618
all_400,report,burst_start_distance,22736,45.8612772695285,10.0,124.0,203.0,605.0,1796,0.0
all_400,motivated,trigger_distance,73499,14.338943386984857,2.0,41.0,73.0,164.0,553,0.47267309759316456
all_400,motivated,silent_gap,38758,25.295397079312657,9.0,69.0,106.0,198.0,552,0.15537437432272047
all_400,motivated,burst_start_distance,38758,27.185768099489138,11.0,71.0,108.0,200.0,553,0.0
four_displayed,suite,trigger_distance,635,18.69448818897638,3.0,50.60000000000002,100.49999999999977,247.9799999999999,422,0.37480314960629924
four_displayed,suite,silent_gap,397,28.302267002518892,6.0,83.40000000000003,140.3999999999998,293.28000000000014,421,0.15869017632241814
four_displayed,suite,burst_start_distance,397,29.886649874055415,8.0,86.0,141.3999999999998,295.28000000000014,422,0.0
four_displayed,validator,trigger_distance,701,16.009985734664763,1.0,51.0,91.0,187.0,395,0.536376604850214
four_displayed,validator,silent_gap,325,32.37538461538462,9.0,95.60000000000002,136.40000000000003,239.27999999999997,394,0.18769230769230769
four_displayed,validator,burst_start_distance,325,34.50153846153846,12.0,96.60000000000002,137.40000000000003,240.51999999999998,396,0.0
four_displayed,scorefile,trigger_distance,744,16.04032258064516,2.0,49.700000000000045,87.85000000000002,168.99000000000035,335,0.4314516129032258
four_displayed,scorefile,silent_gap,423,26.45390070921986,7.0,80.0,115.79999999999995,201.39999999999918,334,0.1938534278959811
four_displayed,scorefile,burst_start_distance,423,28.203309692671393,9.0,82.0,116.79999999999995,202.6199999999992,335,0.0
four_displayed,acquire,trigger_distance,580,20.24137931034483,3.0,53.0,113.0,246.0,443,0.35517241379310344
four_displayed,acquire,silent_gap,374,29.83957219251337,8.0,91.39999999999998,130.0,259.6999999999998,442,0.20053475935828877
four_displayed,acquire,burst_start_distance,374,31.387700534759357,10.0,93.0,131.34999999999997,264.6999999999998,444,0.0
four_displayed,report,trigger_distance,715,16.394405594405594,1.0,19.0,68.39999999999964,247.86,1218,0.627972027972028
four_displayed,report,silent_gap,266,41.3796992481203,5.5,108.5,168.75,773.7000000000023,1217,0.22556390977443608
four_displayed,report,burst_start_distance,266,43.857142857142854,9.0,110.0,172.25,774.7000000000023,1218,0.0
four_displayed,motivated,trigger_distance,833,13.942376950780313,2.0,36.0,73.0,183.83999999999935,282,0.49939975990396157
four_displayed,motivated,silent_gap,417,25.853717026378895,9.0,72.0,101.99999999999994,214.19999999999987,281,0.12470023980815348
four_displayed,motivated,burst_start_distance,417,27.84652278177458,12.0,73.40000000000003,103.19999999999993,215.3599999999999,286,0.0
