scope,probe,firing_tokens,windows,pct_windows
four_displayed,suite,1,135,53.78486055776892
four_displayed,suite,2,40,15.936254980079681
four_displayed,suite,3,27,10.756972111553784
four_displayed,suite,4,13,5.179282868525896
four_displayed,suite,5,11,4.382470119521913
four_displayed,suite,6,6,2.3904382470119523
four_displayed,suite,7,2,0.796812749003984
four_displayed,suite,8,4,1.593625498007968
four_displayed,suite,9,3,1.1952191235059761
four_displayed,suite,10,3,1.1952191235059761
four_displayed,suite,11,3,1.1952191235059761
four_displayed,suite,13,1,0.398406374501992
four_displayed,suite,14,1,0.398406374501992
four_displayed,suite,17,1,0.398406374501992
four_displayed,suite,20,1,0.398406374501992
four_displayed,report,1,71,44.099378881987576
four_displayed,report,2,28,17.391304347826086
four_displayed,report,3,13,8.074534161490684
four_displayed,report,4,7,4.3478260869565215
four_displayed,report,5,5,3.1055900621118013
four_displayed,report,6,4,2.484472049689441
four_displayed,report,7,4,2.484472049689441
four_displayed,report,8,5,3.1055900621118013
four_displayed,report,9,2,1.2422360248447204
four_displayed,report,10,2,1.2422360248447204
four_displayed,report,11,2,1.2422360248447204
four_displayed,report,12,2,1.2422360248447204
four_displayed,report,14,1,0.6211180124223602
four_displayed,report,15,2,1.2422360248447204
four_displayed,report,16,2,1.2422360248447204
four_displayed,report,17,2,1.2422360248447204
four_displayed,report,18,2,1.2422360248447204
four_displayed,report,19,1,0.6211180124223602
four_displayed,report,20,1,0.6211180124223602
four_displayed,report,22,1,0.6211180124223602
four_displayed,report,23,1,0.6211180124223602
four_displayed,report,26,1,0.6211180124223602
four_displayed,report,31,1,0.6211180124223602
four_displayed,report,37,1,0.6211180124223602
all_400,suite,1,12398,48.95364447603254
all_400,suite,2,4644,18.336886993603414
all_400,suite,3,2649,10.459606728263445
all_400,suite,4,1699,6.708520887625364
all_400,suite,5,929,3.668167101002922
all_400,suite,6,664,2.6218115770354578
all_400,suite,7,512,2.021637842533365
all_400,suite,8,410,1.6188896785911713
all_400,suite,9,287,1.1332227750138197
all_400,suite,10,233,0.920003158809129
all_400,suite,11,182,0.7186290768380321
all_400,suite,12,126,0.4975124378109453
all_400,suite,13,106,0.41854220958698574
all_400,suite,14,97,0.3830056068862039
all_400,suite,15,62,0.2448077074942747
all_400,suite,16,56,0.22111663902708678
all_400,suite,17,46,0.181631524915107
all_400,suite,18,34,0.13424938798073127
all_400,suite,19,33,0.1303008765695333
all_400,suite,20,27,0.10660980810234541
all_400,suite,21,25,0.09871278527994946
all_400,suite,22,19,0.07502171681276158
all_400,suite,23,11,0.04343362552317776
all_400,suite,24,7,0.027639579878385848
all_400,suite,25,12,0.04738213693437574
all_400,suite,26,10,0.03948511411197979
all_400,suite,27,7,0.027639579878385848
all_400,suite,28,5,0.019742557055989894
all_400,suite,29,5,0.019742557055989894
all_400,suite,30,6,0.02369106846718787
all_400,suite,31,1,0.0039485114111979785
all_400,suite,32,5,0.019742557055989894
all_400,suite,33,1,0.0039485114111979785
all_400,suite,34,2,0.007897022822395957
all_400,suite,36,3,0.011845534233593935
all_400,suite,37,1,0.0039485114111979785
all_400,suite,40,2,0.007897022822395957
all_400,suite,41,1,0.0039485114111979785
all_400,suite,44,2,0.007897022822395957
all_400,suite,47,1,0.0039485114111979785
all_400,suite,48,1,0.0039485114111979785
all_400,suite,49,1,0.0039485114111979785
all_400,suite,50,1,0.0039485114111979785
all_400,suite,52,1,0.0039485114111979785
all_400,suite,64,1,0.0039485114111979785
all_400,suite,66,1,0.0039485114111979785
all_400,report,1,6648,45.74416844423037
all_400,report,2,2301,15.832931947980459
all_400,report,3,1466,10.087387325397373
all_400,report,4,897,6.172159911924585
all_400,report,5,591,4.066607032271382
all_400,report,6,416,2.8624509736461845
all_400,report,7,311,2.1399573384710657
all_400,report,8,203,1.3968210280052296
all_400,report,9,180,1.2385605174430607
all_400,report,10,144,0.9908484139544486
all_400,report,11,153,1.0527764398266015
all_400,report,12,129,0.88763503750086
all_400,report,13,124,0.8532305786829973
all_400,report,14,99,0.6812082845936833
all_400,report,15,108,0.7431363104658364
all_400,report,16,89,0.6123993669579578
all_400,report,17,80,0.5504713410858046
all_400,report,18,73,0.5023050987407968
all_400,report,19,86,0.5917566916672401
all_400,report,20,61,0.41973439757792613
all_400,report,21,51,0.3509254799422005
all_400,report,22,50,0.34404458817862793
all_400,report,23,44,0.3027592375971926
all_400,report,24,44,0.3027592375971926
all_400,report,25,35,0.24083121172503957
all_400,report,26,24,0.16514140232574143
all_400,report,27,27,0.1857840776164591
all_400,report,28,21,0.14449872703502376
all_400,report,29,19,0.13073694350787862
all_400,report,30,10,0.06880891763572558
all_400,report,31,15,0.10321337645358838
all_400,report,32,12,0.08257070116287071
all_400,report,33,6,0.04128535058143536
all_400,report,34,3,0.02064267529071768
all_400,report,35,4,0.027523567054290238
all_400,report,36,1,0.0068808917635725594
all_400,report,37,3,0.02064267529071768
all_400,report,38,2,0.013761783527145119
all_400,report,42,1,0.0068808917635725594
all_400,report,43,1,0.0068808917635725594
all_400,report,50,1,0.0068808917635725594
